distancia,ritmo,anio
9.99238109997,5.93452145257,2016
2.4414649768,7.08590955202,2013
3.1485536002,5.87042041531,2013
2.84509752736,4.85630686955,2013
1.9025106801,5.06348449661,2013
6.73628865235,5.9379878245,2016
5.00159647981,4.80180013794,2016
1.00796501859,5.29118891524,2016
5.30844735052,6.11603817894,2016
5.99587427721,4.94784668508,2013
6.01018871205,6.16730496205,2016
10.0216802049,5.55628718889,2013
1.17357238528,6.14931533596,2013
2.45922874909,4.85924703199,2013
5.63099690844,4.83336558503,2013
2.95220149539,5.41968426782,2013